Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Carlton Morris,19.2,12.2,F,LUT,@EVE/BUR,84,174,2
Lyle Foster,18.1,12.6,F,BUR,@NEW/LUT,21,173,2
Jacob Brown,17.9,13.9,F,LUT,@EVE/BUR,4,145,1
Erling Haaland,17.6,9.0,F,MCI,@WOL,100,84,1
Ryan Giles,17.3,14.5,M,LUT,@EVE/BUR,14,171,1
Bukayo Saka,17.1,10.8,M,ARS,@BOU,100,87,0
Cauley Woodrow,16.8,13.0,F,LUT,@EVE/BUR,0,150,0
Jacob Bruun Larsen,16.3,13.2,F,BUR,@NEW/LUT,0,150,0
Zeki Amdouni,15.9,11.0,F,BUR,@NEW/LUT,12,131,1
Alfie Doughty,15.7,12.3,M,LUT,@EVE/BUR,18,150,2
Bruno Fernandes,15.7,9.9,M,MUN,CRY,100,90,1
Gabriel Jesus,15.6,10.2,F,ARS,@BOU,100,84,1
Jarrod Bowen,15.6,9.3,M,WHU,SHU,100,88,1
Kieran Trippier,15.5,11.1,D,NEW,BUR,100,88,1
Chiedozie Ogbene,15.3,11.0,F,LUT,@EVE/BUR,1,180,1
Callum Wilson,15.3,7.7,F,NEW,BUR,96,76,0
Luca Koleosho,15.2,12.5,F,BUR,@NEW/LUT,12,133,1
Nathan Redmond,15.2,11.4,M,BUR,@NEW/LUT,1,180,0
Mike Tresor,15.2,11.3,F,BUR,@NEW/LUT,2,150,1
Ross Barkley,15.1,12.1,M,LUT,@EVE/BUR,9,147,1
Josh Brownhill,15.1,11.4,M,BUR,@NEW/LUT,36,179,2
Eberechi Eze,14.8,11.9,M,CRY,@MUN,100,86,1
Aaron Ramsey,14.8,11.0,M,BUR,@NEW/LUT,1,144,1
Morgan Gibbs-White,14.6,10.5,M,NOT,BRF,99,89,1
Julian Alvarez,14.6,8.7,F,MCI,@WOL,100,87,1
Mohamed Salah,14.5,8.0,F,LIV,@TOT,100,87,1
Martin Odegaard,14.4,9.2,M,ARS,@BOU,100,87,1
Jay Rodriguez,14.3,7.9,F,BUR,@NEW/LUT,1,161,0
Joao Pedro,14.2,8.4,F,BHA,@AVL,95,85,1
Hannes Delcroix,14.1,17.3,D,BUR,@NEW/LUT,1,180,1
Elijah Adebayo,14.1,9.6,F,LUT,@EVE/BUR,7,133,1
James Trafford,14.0,14.0,G,BUR,@NEW/LUT,13,90,2
Thomas Kaminski,14.0,14.0,G,LUT,@EVE/BUR,6,90,2
Anass Zaroury,13.9,10.8,F,BUR,@NEW/LUT,19,150,1
James Ward-Prowse,13.9,9.7,M,WHU,SHU,85,89,1
Benson Manuel,13.8,9.7,F,BUR,@NEW/LUT,12,120,0
Lucas Paqueta,13.7,9.1,M,WHU,SHU,100,84,1
James Maddison,13.6,9.1,M,TOT,LIV,100,86,1
Harvey Barnes,13.4,7.6,M,NEW,BUR,88,81,0
Tom Lockyer,13.1,15.5,D,LUT,@EVE/BUR,14,180,2
Marvelous Nakamba,13.1,12.0,M,LUT,@EVE/BUR,7,176,2
Jack Grealish,13.1,7.6,M,MCI,@WOL,100,86,1
Alexander Isak,13.1,6.9,F,NEW,BUR,99,76,1
Jeremy Doku,12.9,9.4,F,MCI,@WOL,81,75,0
Fabio Vieira,12.6,9.4,M,ARS,@BOU,57,70,0
Said Benrahma,12.6,8.2,M,WHU,SHU,76,79,0
Marcus Rashford,12.6,7.2,F,MUN,CRY,100,86,1
Solly March,12.5,9.0,M,BHA,@AVL,100,82,1
Raheem Sterling,12.5,8.5,F,CHE,@FUL,100,81,1
Phil Foden,12.5,7.6,M,MCI,@WOL,100,83,1
Vitinho,12.4,15.7,D,BUR,@NEW/LUT,1,180,0
Thilo Kehrer,12.4,10.1,D,WHU,SHU,0,88,0
Tomas Soucek,12.4,9.6,M,WHU,SHU,80,83,1
Ansu Fati,12.4,8.5,F,BHA,@AVL,74,75,1
Anthony Gordon,12.4,7.8,M,NEW,BUR,93,77,1
Sander Berge,12.2,10.0,M,BUR,@NEW/LUT,5,143,1
Mohammed Kudus,12.2,8.3,M,WHU,SHU,71,75,1
Dominik Szoboszlai,12.2,8.2,M,LIV,@TOT,100,90,1
Ollie Watkins,12.2,7.1,F,AVL,BHA,100,85,1
Pablo Fornals,12.1,7.5,M,WHU,SHU,3,82,0
Mads Andersen,12.0,14.6,D,LUT,@EVE/BUR,2,165,1
Son Heung-Min,12.0,6.7,F,TOT,LIV,100,84,1
Declan Rice,11.9,10.0,M,ARS,@BOU,99,89,1
Odsonne Edouard,11.9,9.3,F,CRY,@MUN,85,82,0
Oliver McBurnie,11.8,9.2,F,SHU,@WHU,20,89,1
Jacob Murphy,11.8,7.5,M,NEW,BUR,5,70,0
Dara O'Shea,11.7,15.5,D,BUR,@NEW/LUT,2,180,1
Ethan Pinnock,11.7,11.7,D,BRF,@NOT,98,89,1
Callum Hudson-Odoi,11.7,9.9,F,NOT,BRF,41,70,1
Michael Keane,11.7,9.4,D,EVE,LUT,21,88,0
Tahith Chong,11.7,8.1,M,LUT,@EVE/BUR,4,162,1
Evan Ferguson,11.7,7.6,F,BHA,@AVL,100,71,0
Jordan Ayew,11.6,9.4,F,CRY,@MUN,73,82,1
Dejan Kulusevski,11.6,8.7,M,TOT,LIV,100,84,1
Elliot Anderson,11.6,8.4,M,NEW,BUR,10,78,1
Simon Adingra,11.5,8.7,F,BHA,@AVL,42,85,0
Kaoru Mitoma,11.4,8.1,M,BHA,@AVL,100,88,1
Miguel Almiron,11.4,6.3,M,NEW,BUR,91,81,1
Cole Palmer,11.3,8.4,M,CHE,@FUL,40,90,1
Felipe,11.2,11.0,D,NOT,BRF,19,85,0
Gabriel Martinelli,11.2,6.3,M,ARS,@BOU,100,77,0
Darwin Nunez,11.2,6.1,F,LIV,@TOT,100,75,1
Danny Ings,11.2,5.7,F,WHU,SHU,8,80,0
Arnaut Danjuma Groeneveld,11.0,6.0,F,EVE,LUT,42,80,1
Yoane Wissa,10.8,8.1,F,BRF,@NOT,95,80,1
Noni Madueke,10.8,8.0,F,CHE,@FUL,30,69,0
Manor Solomon,10.8,7.8,F,TOT,LIV,65,74,1
Jack Harrison,10.7,7.1,M,EVE,LUT,27,75,0
Willy Boly,10.6,10.8,D,NOT,BRF,59,84,1
Sean Longstaff,10.6,8.5,M,NEW,BUR,9,88,1
James Tarkowski,10.6,8.2,D,EVE,LUT,65,89,1
Diogo Jota,10.6,6.8,F,LIV,@TOT,98,70,1
Eddie Nketiah,10.6,5.3,F,ARS,@BOU,82,79,1
Moussa Diaby,10.5,6.9,F,AVL,BHA,97,80,1
Jhon Duran,10.5,6.4,F,AVL,BHA,7,75,0
Emile Smith Rowe,10.4,7.9,M,ARS,@BOU,8,72,0
Enzo Fernandez,10.4,7.7,M,CHE,@FUL,98,87,1
Zanka,10.3,8.0,D,BRF,@NOT,0,85,0
Vladimir Coufal,10.3,7.8,D,WHU,SHU,41,88,1
Abdoulaye Doucoure,10.3,7.7,M,EVE,LUT,78,88,1
Dwight McNeil,10.3,5.8,M,EVE,LUT,76,85,1
Jarrad Branthwaite,10.2,8.1,D,EVE,LUT,5,85,1
Issa Kabore,10.0,11.7,D,LUT,@EVE/BUR,13,145,1
Mykhailo Mudryk,10.0,7.5,M,CHE,@FUL,78,64,1
Jefferson Lerma,9.9,9.9,M,CRY,@MUN,50,89,0
Michail Antonio,9.9,5.1,F,WHU,SHU,76,75,0
Joachim Andersen,9.8,13.1,D,CRY,@MUN,93,89,1
Gabriel Magalhaes,9.8,8.7,D,ARS,@BOU,85,89,1
Ashley Young,9.8,6.8,D,EVE,LUT,13,86,1
Reiss Nelson,9.8,6.5,F,ARS,@BOU,2,75,1
Emerson,9.7,7.0,D,WHU,SHU,47,87,1
Johann Gudmundsson,9.7,7.0,M,BUR,@NEW/LUT,9,93,0
Yves Bissouma,9.6,8.7,M,TOT,LIV,82,86,1
Ben Chilwell,9.6,7.8,D,CHE,@FUL,99,79,1
Nicolo Zaniolo,9.6,7.1,M,AVL,BHA,36,62,0
Luis Diaz,9.6,6.7,F,LIV,@TOT,100,72,0
Bernardo Silva,9.6,6.0,M,MCI,@WOL,98,88,0
Kai Havertz,9.6,5.4,F,ARS,@BOU,84,81,1
Richarlison,9.6,5.3,F,TOT,LIV,87,76,0
Amari'i Bell,9.5,12.0,D,LUT,@EVE/BUR,5,180,1
Matheus Franca,9.5,7.8,F,CRY,@MUN,4,70,0
Maxwel Cornet,9.5,7.6,M,WHU,SHU,1,73,0
Diogo Dalot,9.5,7.4,D,MUN,CRY,79,89,1
Bryan Mbeumo,9.5,5.2,F,BRF,@NOT,100,85,1
Serge Aurier,9.4,9.5,D,NOT,BRF,58,85,1
Mathias Jensen,9.4,8.0,M,BRF,@NOT,96,75,1
Jeffrey Schlupp,9.4,8.0,M,CRY,@MUN,38,81,1
Nayef Aguerd,9.4,7.3,D,WHU,SHU,24,86,1
Sergio Gomez,9.4,7.0,D,MCI,@WOL,2,77,0
Dominic Calvert-Lewin,9.4,5.2,F,EVE,LUT,50,62,1
Reece Burke,9.3,11.8,D,LUT,@EVE/BUR,1,165,2
Lewis Hall,9.3,7.7,D,NEW,BUR,23,78,0
Aaron Cresswell,9.3,7.7,D,WHU,SHU,9,88,0
Pelly Ruddock,9.3,7.3,M,LUT,@EVE/BUR,0,174,0
Sergio Reguilon,9.3,7.1,D,MUN,CRY,55,85,1
Konstantinos Mavropanos,9.3,7.1,D,WHU,SHU,2,80,0
Jonny Evans,9.2,7.6,D,MUN,CRY,2,78,0
Josh Cullen,9.2,7.3,M,BUR,@NEW/LUT,4,180,2
Albert Sambi Lokonga,9.2,6.9,M,LUT,@EVE/BUR,1,151,1
Anthony Elanga,9.2,6.7,F,NOT,BRF,39,75,0
Vitalii Mykolenko,9.2,6.6,D,EVE,LUT,4,86,1
Gustavo Hamer,9.1,7.9,M,SHU,@WHU,56,86,1
Sandro Tonali,9.1,7.0,M,NEW,BUR,92,73,0
Chris Wood,9.1,6.8,F,NOT,BRF,2,78,0
Dango Ouattara,9.1,6.6,F,BOU,ARS,29,73,1
Douglas Luiz,9.1,6.0,M,AVL,BHA,96,84,1
Valentino Livramento,9.0,7.4,D,NEW,BUR,5,78,0
Conor Gallagher,9.0,6.7,M,CHE,@FUL,76,78,0
Jordan Beyer,8.9,11.2,D,BUR,@NEW/LUT,10,156,2
Pierre-Emile Hojbjerg,8.9,7.8,M,TOT,LIV,17,90,0
Oleksandr Zinchenko,8.9,7.6,D,ARS,@BOU,96,81,1
Jean-Philippe Mateta,8.9,6.6,F,CRY,@MUN,5,71,1
Sven Botman,8.9,6.3,D,NEW,BUR,98,89,1
Armando Broja,8.9,5.0,F,CHE,@FUL,4,80,1
Cody Gakpo,8.9,5.0,F,LIV,@TOT,96,72,0
Christian Eriksen,8.9,4.8,M,MUN,CRY,78,85,0
Beto,8.9,4.4,F,EVE,LUT,46,74,0
Moussa Niakhate,8.8,9.6,D,NOT,BRF,1,85,1
Neco Williams,8.8,8.8,D,NOT,BRF,9,86,0
Takehiro Tomiyasu,8.8,7.9,D,ARS,@BOU,6,71,0
Hannibal Mejbri,8.8,6.9,M,MUN,CRY,14,90,1
Nathan Ake,8.8,6.6,D,MCI,@WOL,91,82,0
Konstantinos Tsimikas,8.7,9.2,D,LIV,@TOT,3,70,0
Saman Ghoddos,8.7,8.7,F,BRF,@NOT,0,77,0
Casemiro,8.7,6.9,M,MUN,CRY,97,86,1
James Garner,8.7,6.7,M,EVE,LUT,10,86,1
Kurt Zouma,8.7,6.6,D,WHU,SHU,56,82,1
Dan Burn,8.7,5.9,D,NEW,BUR,80,89,1
Facundo Pellistri,8.7,5.8,M,MUN,CRY,7,75,0
Scott McKenna,8.6,9.1,D,NOT,BRF,16,83,0
Trent Alexander-Arnold,8.6,8.5,D,LIV,@TOT,100,85,1
Mads Roerslev,8.6,8.4,D,BRF,@NOT,11,82,0
Marcus Tavernier,8.6,6.4,M,BOU,ARS,53,80,1
Keane Lewis-Potter,8.6,6.4,F,BRF,@NOT,1,72,1
Kyle Walker,8.6,6.2,D,MCI,@WOL,95,88,1
Matheus Nunes,8.6,6.0,M,MCI,@WOL,72,84,1
Rasmus Hojlund,8.6,4.5,F,MUN,CRY,87,72,1
Gonzalo Montiel,8.5,7.8,D,NOT,BRF,3,60,0
Scott McTominay,8.5,6.9,M,MUN,CRY,4,85,1
Kalvin Phillips,8.5,6.6,M,MCI,@WOL,1,80,1
Alex Iwobi,8.5,6.6,M,FUL,CHE,68,86,0
Josko Gvardiol,8.5,6.1,D,MCI,@WOL,85,90,1
Leon Bailey,8.5,5.5,F,AVL,BHA,63,62,0
Frank Onyeka,8.4,7.6,M,BRF,@NOT,0,60,1
Jack Cork,8.4,7.1,M,BUR,@NEW/LUT,0,169,0
Mason Mount,8.4,4.9,M,MUN,CRY,92,78,0
Cheick Doucoure,8.3,7.6,M,CRY,@MUN,38,88,1
Benoit Badiashile,8.3,7.5,D,CHE,@FUL,11,90,0
Will Hughes,8.3,7.4,M,CRY,@MUN,1,86,1
Kristoffer Ajer,8.3,6.9,D,BRF,@NOT,1,82,1
Hamed Traore,8.3,6.0,M,BOU,ARS,27,76,0
Fabian Schar,8.3,5.1,D,NEW,BUR,90,89,1
Pervis Estupinan,8.2,8.8,D,BHA,@AVL,100,86,1
Oliver Norwood,8.2,6.6,M,SHU,@WHU,17,85,1
Pedro Neto,8.2,6.2,F,WOL,MCI,96,82,1
Taiwo Awoniyi,8.2,4.7,F,NOT,BRF,94,75,1
Joe Worrall,8.1,8.8,D,NOT,BRF,5,87,0
Ben Johnson,8.1,7.2,D,WHU,SHU,0,85,0
Harrison Reed,8.0,6.9,M,FUL,CHE,8,81,1
Sasa Kalajdzic,8.0,6.8,F,WOL,MCI,3,60,0
Pape Sarr,8.0,6.3,M,TOT,LIV,79,70,1
Andrew Robertson,7.9,8.2,D,LIV,@TOT,100,86,1
Willian,7.9,5.4,F,FUL,CHE,55,77,1
Adama Traore,7.9,5.0,F,FUL,CHE,5,78,0
Dominic Solanke,7.9,3.8,F,BOU,ARS,93,89,1
Jorginho,7.8,6.9,M,ARS,@BOU,3,84,0
Jesurun Rak-Sakyi,7.8,6.4,M,CRY,@MUN,0,65,0
Ben Doak,7.8,6.2,F,LIV,@TOT,1,75,0
Nathan Patterson,7.8,5.6,D,EVE,LUT,4,78,0
Alexis Mac Allister,7.8,5.0,M,LIV,@TOT,93,83,1
Anthony Martial,7.8,4.6,F,MUN,CRY,14,65,0
Brennan Johnson,7.8,4.5,F,TOT,LIV,80,82,0
Virgil van Dijk,7.7,9.0,D,LIV,@TOT,99,85,1
Amadou Onana,7.7,5.9,M,EVE,LUT,24,85,0
Matheus Cunha,7.7,5.6,F,WOL,MCI,69,77,1
Angelo Ogbonna,7.7,5.6,D,WHU,SHU,0,89,0
Sofyan Amrabat,7.7,5.4,M,MUN,CRY,28,80,0
Jacob Ramsey,7.7,5.2,M,AVL,BHA,64,84,1
Manuel Akanji,7.6,5.4,D,MCI,@WOL,98,85,1
Ruben Dias,7.6,5.4,D,MCI,@WOL,97,87,1
Bruno Guimaraes,7.6,5.1,M,NEW,BUR,92,87,1
Andreas Pereira,7.6,4.7,M,FUL,CHE,92,78,1
Thiago Silva,7.5,6.7,D,CHE,@FUL,91,89,1
Moises Caicedo,7.5,6.4,M,CHE,@FUL,73,87,1
Jamaal Lascelles,7.5,6.0,D,NEW,BUR,0,90,0
Facundo Buonanotte,7.5,5.2,M,BHA,@AVL,22,60,0
Levi Colwill,7.4,6.5,D,CHE,@FUL,88,88,1
James Mcatee,7.4,5.9,M,SHU,@WHU,8,71,1
Harvey Elliott,7.4,4.8,M,LIV,@TOT,7,71,0
Danny Welbeck,7.4,3.4,F,BHA,@AVL,40,73,0
Ibrahima Konate,7.3,9.3,D,LIV,@TOT,73,90,1
Ben Mee,7.3,6.7,D,BRF,@NOT,74,86,0
Ben White,7.3,6.4,D,ARS,@BOU,97,87,1
Ian Maatsen,7.3,6.3,D,CHE,@FUL,6,75,0
Mateo Kovacic,7.3,5.9,M,MCI,@WOL,72,83,0
Vinicius de Souza Costa,7.2,6.8,M,SHU,@WHU,3,81,1
Harry Maguire,7.2,6.8,D,MUN,CRY,4,90,0
Jakub Kiwior,7.2,6.7,D,ARS,@BOU,2,75,0
Seamus Coleman,7.2,5.5,D,EVE,LUT,0,82,0
Pedro Porro,7.1,8.5,D,TOT,LIV,99,87,1
Marc Cucurella,7.1,6.1,D,CHE,@FUL,13,82,0
Anis Ben Slimane,7.1,6.0,M,SHU,@WHU,0,75,0
Fabio Silva,7.1,5.3,F,WOL,MCI,6,68,0
Ben Godfrey,7.1,4.9,D,EVE,LUT,0,80,0
Neal Maupay,7.1,3.1,F,BRF,@NOT,3,78,0
Alisson,7.0,7.0,G,LIV,@TOT,100,90,1
Nick Pope,7.0,7.0,G,NEW,BUR,97,90,1
Ederson,7.0,7.0,G,MCI,@WOL,96,90,1
Bernd Leno,7.0,7.0,G,FUL,CHE,93,90,1
Andre Onana,7.0,7.0,G,MUN,CRY,88,90,1
Guglielmo Vicario,7.0,7.0,G,TOT,LIV,87,90,1
Jose Sa,7.0,7.0,G,WOL,MCI,79,90,1
Emiliano Martinez,7.0,7.0,G,AVL,BHA,75,90,1
Alphonse Areola,7.0,7.0,G,WHU,SHU,70,90,1
Mark Flekken,7.0,7.0,G,BRF,@NOT,64,90,1
Aaron Ramsdale,7.0,7.0,G,ARS,@BOU,58,90,1
Robert Sanchez,7.0,7.0,G,CHE,@FUL,46,90,1
Neto,7.0,7.0,G,BOU,ARS,35,90,1
Jordan Pickford,7.0,7.0,G,EVE,LUT,33,90,1
Matt Turner,7.0,7.0,G,NOT,BRF,25,90,1
Wes Foderingham,7.0,7.0,G,SHU,@WHU,24,90,1
Sam Johnstone,7.0,7.0,G,CRY,@MUN,19,90,1
Jason Steele,7.0,7.0,G,BHA,@AVL,18,90,1
David Raya,7.0,7.0,G,ARS,@BOU,69,90,0
Bart Verbruggen,7.0,7.0,G,BHA,@AVL,15,90,0
Joao Virginia,7.0,7.0,G,EVE,LUT,12,90,0
Dean Henderson,7.0,7.0,G,CRY,@MUN,6,90,0
Lukasz Fabianski,7.0,7.0,G,WHU,SHU,5,90,0
Robin Olsen,7.0,7.0,G,AVL,BHA,2,90,0
Stefan Ortega Moreno,7.0,7.0,G,MCI,@WOL,2,90,0
Arijanet Muric,7.0,7.0,G,BUR,@NEW/LUT,1,90,0
Djordje Petrovic,7.0,7.0,G,CHE,@FUL,1,90,0
Martin Dubravka,7.0,7.0,G,NEW,BUR,1,90,0
Caoimhin Kelleher,7.0,7.0,G,LIV,@TOT,1,90,0
Fraser Forster,7.0,7.0,G,TOT,LIV,1,90,0
Odysseas Vlachodimos,7.0,7.0,G,NOT,BRF,1,90,0
Tim Krul,7.0,7.0,G,LUT,@EVE/BUR,0,90,0
Adam Davies,7.0,7.0,G,SHU,@WHU,0,90,0
Daniel Bentley,7.0,7.0,G,WOL,MCI,0,90,0
Marek Rodak,7.0,7.0,G,FUL,CHE,0,90,0
Altay Bayindir,7.0,7.0,G,MUN,CRY,0,90,0
Thomas Strakosha,7.0,7.0,G,BRF,@NOT,0,90,0
Lewis Dobbin,7.0,5.5,F,EVE,LUT,1,65,0
Andrey Santos,6.8,5.4,M,NOT,BRF,2,70,0
Harry Wilson,6.8,4.3,M,FUL,CHE,55,79,1
Joseph Gomez,6.7,8.8,D,LIV,@TOT,37,90,0
Lucas Digne,6.7,7.6,D,AVL,BHA,89,78,1
Ibrahim Sangare,6.7,6.7,M,NOT,BRF,14,78,1
Ryan Christie,6.7,5.0,M,BOU,ARS,32,72,1
Christian Norgaard,6.6,5.5,M,BRF,@NOT,54,81,1
Pablo Sarabia,6.6,5.1,M,WOL,MCI,16,66,0
Philip Billing,6.6,5.0,M,BOU,ARS,76,83,1
Ryan Gravenberch,6.6,4.9,M,LIV,@TOT,43,80,0
Alejandro Garnacho,6.6,3.4,M,MUN,CRY,59,66,0
Kieffer Moore,6.6,3.3,F,BOU,ARS,0,86,0
Nuno Tavares,6.5,7.0,D,NOT,BRF,5,65,0
Jarell Quansah,6.3,8.7,D,LIV,@TOT,3,82,0
Ola Aina,6.3,6.2,D,NOT,BRF,2,79,1
William Saliba,6.3,5.8,D,ARS,@BOU,99,90,1
Victor Lindelof,6.3,5.3,D,MUN,CRY,7,89,1
Tariq Lamptey,6.2,7.1,D,BHA,@AVL,24,73,0
Lesley Ugochukwu,6.2,5.2,F,CHE,@FUL,2,90,0
Carlos Baleba,6.2,4.8,M,BHA,@AVL,3,75,0
Cheikhou Kouyate,6.2,4.8,M,NOT,BRF,0,71,0
Benie Traore,6.2,4.6,F,SHU,@WHU,4,85,0
John McGinn,6.2,4.4,M,AVL,BHA,68,84,1
Divock Origi,6.2,3.7,F,NOT,BRF,6,75,0
John Egan,6.1,9.3,D,SHU,@WHU,7,86,1
Chris Richards,6.1,9.1,D,CRY,@MUN,0,90,0
Axel Disasi,6.0,5.1,D,CHE,@FUL,81,90,1
Iyenoma Destiny Udogie,5.9,7.8,D,TOT,LIV,98,84,1
Lewis Cook,5.9,5.4,M,BOU,ARS,3,87,1
Leander Dendoncker,5.9,5.2,M,AVL,BHA,0,83,0
Lisandro Martinez,5.9,4.7,D,MUN,CRY,60,79,0
Edson Alvarez,5.9,4.2,M,WHU,SHU,16,82,1
Charlie Taylor,5.8,9.4,D,BUR,@NEW/LUT,1,180,1
Nathan Collins,5.8,5.8,D,BRF,@NOT,40,89,1
Luis Sinisterra,5.8,4.1,F,BOU,ARS,10,60,0
David Brooks,5.8,3.9,M,BOU,ARS,7,65,0
Ben Davies,5.7,7.9,D,TOT,LIV,8,87,0
Stefan Bajcetic,5.7,6.3,M,LIV,@TOT,1,78,0
Joao Palhinha,5.7,4.7,M,FUL,CHE,50,89,1
Vitaly Janelt,5.7,4.6,M,BRF,@NOT,7,82,0
Tom Cairney,5.7,3.4,M,FUL,CHE,0,60,0
Ameen Al Dakhil,5.6,9.1,D,BUR,@NEW/LUT,1,180,1
Timothy Castagne,5.6,6.6,D,FUL,CHE,29,89,1
Jan-Paul van Hecke,5.5,7.0,D,BHA,@AVL,12,89,0
Rob Holding,5.5,7.0,D,CRY,@MUN,1,84,0
Danilo,5.5,5.2,M,NOT,BRF,12,74,0
Matt Targett,5.5,4.2,D,NEW,BUR,1,85,0
Rico Lewis,5.5,3.1,D,MCI,@WOL,14,82,0
Nicolas Dominguez,5.4,5.3,M,NOT,BRF,1,90,1
Raphael Varane,5.4,4.2,D,MUN,CRY,68,83,1
Billy Gilmour,5.4,4.1,M,BHA,@AVL,31,78,1
Oliver Skipp,5.4,3.8,M,TOT,LIV,1,81,0
Youri Tielemans,5.3,2.6,M,AVL,BHA,37,85,0
Marc Guehi,5.2,8.2,D,CRY,@MUN,49,90,1
Orel Mangala,5.2,4.4,M,NOT,BRF,1,77,1
Curtis Jones,5.2,3.6,M,LIV,@TOT,21,72,1
Aaron Hickey,5.2,3.2,D,BRF,@NOT,15,81,1
Mikkel Damsgaard,5.1,3.3,M,BRF,@NOT,2,66,0
Carlos Vinicius,5.1,1.8,F,FUL,CHE,10,85,1
Alex Moreno,5.0,5.8,D,AVL,BHA,64,80,0
Tyler Adams,5.0,4.9,M,BOU,ARS,6,90,0
Tom Davies,5.0,4.3,M,SHU,@WHU,0,66,0
Wataru Endo,5.0,3.9,M,LIV,@TOT,6,60,0
Chris Basham,4.9,8.0,D,SHU,@WHU,0,83,0
Joel Matip,4.9,6.5,D,LIV,@TOT,25,87,0
Mahmoud Dahoud,4.9,3.5,M,BHA,@AVL,18,74,1
Bobby De Cordova-Reid,4.9,2.8,F,FUL,CHE,19,78,0
Ryan Yates,4.8,3.6,M,NOT,BRF,2,86,0
Justin Kluivert,4.8,2.7,M,BOU,ARS,28,64,0
Chris Mepham,4.7,8.2,D,BOU,ARS,0,90,0
Boubacar Kamara,4.7,3.8,M,AVL,BHA,11,85,1
Raul Jimenez,4.7,1.6,F,FUL,CHE,37,76,0
Jayden Bogle,4.6,6.7,D,SHU,@WHU,8,72,0
Adam Lallana,4.5,3.0,M,BHA,@AVL,1,60,0
Hwang Hee-Chan,4.5,2.8,F,WOL,MCI,45,64,0
Antoine Semenyo,4.5,1.8,F,BOU,ARS,17,71,0
Kenny Tete,4.4,5.4,D,FUL,CHE,76,87,0
Idrissa Gueye,4.4,3.3,M,EVE,LUT,6,80,1
Cameron Archer,4.3,1.3,F,SHU,@WHU,17,84,1
George Baldock,4.2,6.6,D,SHU,@WHU,3,84,0
Joel Veltman,4.2,5.6,D,BHA,@AVL,29,83,1
Tommy Doyle,4.2,3.4,M,WOL,MCI,1,70,0
Anel Ahmedhodzic,4.1,8.1,D,SHU,@WHU,14,90,1
Joe Rothwell,4.1,3.0,M,BOU,ARS,1,73,0
Matty Cash,4.0,5.1,D,AVL,BHA,96,87,1
Auston Trusty,3.8,7.5,D,SHU,@WHU,0,80,0
Cristian Romero,3.8,6.2,D,TOT,LIV,91,80,1
Ezri Konsa,3.7,5.6,D,AVL,BHA,16,90,1
Mario Lemina,3.7,3.1,M,WOL,MCI,17,83,1
Boubacar Traore,3.6,2.7,M,WOL,MCI,0,81,1
Calum Chambers,3.1,4.9,D,AVL,BHA,0,87,0
Shandon Baptiste,3.1,2.9,M,BRF,@NOT,0,68,0
Joao Gomes,3.1,2.6,M,WOL,MCI,14,82,1
Toti,3.0,7.3,D,WOL,MCI,0,87,1
Marcos Senesi,3.0,6.2,D,BOU,ARS,3,82,0
Tim Ream,3.0,4.3,D,FUL,CHE,29,86,1
Milos Kerkez,2.8,6.1,D,BOU,ARS,34,88,1
Clement Lenglet,2.8,4.8,D,AVL,BHA,2,85,0
Igor Julio dos Santos de Paulo,2.7,4.5,D,BHA,@AVL,1,80,0
Jack Robinson,2.6,6.0,D,SHU,@WHU,2,87,1
Eric Dier,2.6,5.8,D,TOT,LIV,2,90,0
Connor Roberts,2.6,4.9,D,BUR,@NEW/LUT,7,180,2
Emerson Royal,2.6,4.8,D,TOT,LIV,21,83,0
Pau Torres,2.6,4.4,D,AVL,BHA,58,90,1
Adam Webster,2.5,4.1,D,BHA,@AVL,7,87,1
Issa Diop,2.5,3.9,D,FUL,CHE,10,90,1
Calvin Bassey,2.5,3.7,D,FUL,CHE,2,82,0
Antonee Robinson,2.5,3.6,D,FUL,CHE,48,89,1
Illia Zabarnyi,2.4,6.6,D,BOU,ARS,8,90,1
Yasser Larouci,2.4,5.2,D,SHU,@WHU,1,67,0
Lewis Dunk,2.2,3.8,D,BHA,@AVL,51,90,1
Luke Thomas,2.1,5.6,D,SHU,@WHU,1,88,1
Rayan Ait-Nouri,2.1,5.3,D,WOL,MCI,10,79,0
Micky van de Ven,1.9,4.9,D,TOT,LIV,66,90,1
Matt Doherty,1.7,4.9,D,WOL,MCI,18,80,1
Craig Dawson,1.4,5.3,D,WOL,MCI,23,86,1
Nelson Semedo,1.3,5.1,D,WOL,MCI,35,85,1
Hugo Bueno,1.3,4.6,D,WOL,MCI,2,82,0
Lloyd Kelly,1.1,5.0,D,BOU,ARS,1,89,1
Jonny,1.0,4.5,D,WOL,MCI,0,86,0
Max Aarons,1.0,4.2,D,BOU,ARS,9,86,1
Tyrick Mitchell,1.0,4.1,D,CRY,@MUN,37,86,1
Joel Ward,1.0,4.0,D,CRY,@MUN,12,89,1
Adam Smith,0.9,4.3,D,BOU,ARS,0,81,0
Nathaniel Clyne,0.9,3.9,D,CRY,@MUN,0,86,0
Max Kilman,0.7,4.7,D,WOL,MCI,26,90,1