Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Arsenal,NOT (6.6),cry (7),FUL (5.9),MUN (7.9),eve (8),TOT (5.3),bou (7.5),MCI (3.9),che (8.6),SHU (7.6),new (7),BUR (7.6),brf (5.6),WOL (7),lut (7.1),avl (4.4),BHA (7.4),liv (5.6),WHU (7.4),ful (5.5),CRY (7.6),not (6.1),LIV (6),whu (6.9),bur (7.1),NEW (7.5),shu (7.1),BRF (6.1),CHE (9.2),mci (3.6),LUT (7.6),bha (6.8),AVL (4.8),wol (6.5),tot (4.9),BOU (8.1),mun (7.3),EVE (8.6)
Manchester City,bur (7.1),NEW (7.5),shu (7.1),FUL (5.9),whu (6.9),NOT (6.6),wol (6.5),ars (3.5),BHA (7.4),mun (7.3),BOU (8.1),che (8.6),LIV (6),TOT (5.3),avl (4.4),lut (7.1),CRY (7.6),BRF (6.1),eve (8),SHU (7.6),new (7),BUR (7.6),brf (5.6),EVE (8.6),CHE (9.2),bou (7.5),MUN (7.9),liv (5.6),bha (6.8),ARS (3.7),AVL (4.8),cry (7),LUT (7.6),tot (4.9),not (6.1),WOL (7),ful (5.5),WHU (7.4)
Aston Villa,new (7),EVE (8.6),bur (7.1),liv (5.6),CRY (7.6),che (8.6),BHA (7.4),wol (6.5),WHU (7.4),LUT (7.6),not (6.1),FUL (5.9),tot (4.9),bou (7.5),MCI (3.9),ARS (3.7),brf (5.6),SHU (7.6),mun (7.3),BUR (7.6),eve (8),NEW (7.5),shu (7.1),MUN (7.9),ful (5.5),NOT (6.6),lut (7.1),TOT (5.3),whu (6.9),WOL (7),mci (3.6),BRF (6.1),ars (3.5),BOU (8.1),CHE (9.2),bha (6.8),LIV (6),cry (7)
Tottenham,brf (5.6),MUN (7.9),bou (7.5),bur (7.1),SHU (7.6),ars (3.5),LIV (6),lut (7.1),FUL (5.9),cry (7),CHE (9.2),wol (6.5),AVL (4.8),mci (3.6),WHU (7.4),NEW (7.5),not (6.1),EVE (8.6),bha (6.8),BOU (8.1),mun (7.3),BRF (6.1),eve (8),BHA (7.4),WOL (7),che (8.6),CRY (7.6),avl (4.4),ful (5.5),LUT (7.6),whu (6.9),NOT (6.6),new (7),MCI (3.9),ARS (3.7),liv (5.6),BUR (7.6),shu (7.1)
Fulham,eve (8),BRF (6.1),ars (3.5),mci (3.6),LUT (7.6),cry (7),CHE (9.2),SHU (7.6),tot (4.9),bha (6.8),MUN (7.9),avl (4.4),WOL (7),liv (5.6),NOT (6.6),WHU (7.4),new (7),BUR (7.6),bou (7.5),ARS (3.7),che (8.6),EVE (8.6),bur (7.1),BOU (8.1),AVL (4.8),mun (7.3),BHA (7.4),wol (6.5),TOT (5.3),shu (7.1),not (6.1),NEW (7.5),whu (6.9),LIV (6),CRY (7.6),brf (5.6),MCI (3.9),lut (7.1)
Liverpool,che (8.6),BOU (8.1),new (7),AVL (4.8),wol (6.5),WHU (7.4),tot (4.9),bha (6.8),EVE (8.6),NOT (6.6),lut (7.1),BRF (6.1),mci (3.6),FUL (5.9),shu (7.1),cry (7),MUN (7.9),ARS (3.7),bur (7.1),NEW (7.5),bou (7.5),CHE (9.2),ars (3.5),BUR (7.6),brf (5.6),LUT (7.6),not (6.1),MCI (3.9),eve (8),BHA (7.4),SHU (7.6),mun (7.3),CRY (7.6),ful (5.5),whu (6.9),TOT (5.3),avl (4.4),WOL (7)
Brentford,TOT (5.3),ful (5.5),CRY (7.6),BOU (8.1),new (7),EVE (8.6),not (6.1),mun (7.3),BUR (7.6),che (8.6),WHU (7.4),liv (5.6),ARS (3.7),LUT (7.6),bha (6.8),shu (7.1),AVL (4.8),mci (3.6),WOL (7),cry (7),NOT (6.6),tot (4.9),MCI (3.9),wol (6.5),LIV (6),whu (6.9),CHE (9.2),ars (3.5),bur (7.1),MUN (7.9),BHA (7.4),avl (4.4),SHU (7.6),lut (7.1),eve (8),FUL (5.9),bou (7.5),NEW (7.5)
Nott'ham Forest,ars (3.5),SHU (7.6),mun (7.3),che (8.6),BUR (7.6),mci (3.6),BRF (6.1),cry (7),LUT (7.6),liv (5.6),AVL (4.8),whu (6.9),BHA (7.4),EVE (8.6),ful (5.5),wol (6.5),TOT (5.3),BOU (8.1),new (7),MUN (7.9),brf (5.6),ARS (3.7),bou (7.5),NEW (7.5),WHU (7.4),avl (4.4),LIV (6),bha (6.8),lut (7.1),CRY (7.6),FUL (5.9),tot (4.9),WOL (7),eve (8),MCI (3.9),shu (7.1),CHE (9.2),bur (7.1)
Wolves,mun (7.3),BHA (7.4),eve (8),cry (7),LIV (6),lut (7.1),MCI (3.9),AVL (4.8),bou (7.5),NEW (7.5),shu (7.1),TOT (5.3),ful (5.5),ars (3.5),BUR (7.6),NOT (6.6),whu (6.9),CHE (9.2),brf (5.6),EVE (8.6),bha (6.8),MUN (7.9),che (8.6),BRF (6.1),tot (4.9),SHU (7.6),new (7),FUL (5.9),BOU (8.1),avl (4.4),bur (7.1),WHU (7.4),not (6.1),ARS (3.7),LUT (7.6),mci (3.6),CRY (7.6),liv (5.6)
Brighton,LUT (7.6),wol (6.5),WHU (7.4),NEW (7.5),mun (7.3),BOU (8.1),avl (4.4),LIV (6),mci (3.6),FUL (5.9),eve (8),SHU (7.6),not (6.1),che (8.6),BRF (6.1),BUR (7.6),ars (3.5),cry (7),TOT (5.3),whu (6.9),WOL (7),lut (7.1),CRY (7.6),tot (4.9),shu (7.1),EVE (8.6),ful (5.5),NOT (6.6),MCI (3.9),liv (5.6),brf (5.6),ARS (3.7),bur (7.1),CHE (9.2),bou (7.5),AVL (4.8),new (7),MUN (7.9)
West Ham,bou (7.5),CHE (9.2),bha (6.8),lut (7.1),MCI (3.9),liv (5.6),SHU (7.6),NEW (7.5),avl (4.4),EVE (8.6),brf (5.6),NOT (6.6),bur (7.1),CRY (7.6),tot (4.9),ful (5.5),WOL (7),MUN (7.9),ars (3.5),BHA (7.4),shu (7.1),BOU (8.1),mun (7.3),ARS (3.7),not (6.1),BRF (6.1),eve (8),BUR (7.6),AVL (4.8),new (7),TOT (5.3),wol (6.5),FUL (5.9),cry (7),LIV (6),che (8.6),LUT (7.6),mci (3.6)
Newcastle Utd,AVL (4.8),mci (3.6),LIV (6),bha (6.8),BRF (6.1),shu (7.1),BUR (7.6),whu (6.9),CRY (7.6),wol (6.5),ARS (3.7),bou (7.5),CHE (9.2),MUN (7.9),eve (8),tot (4.9),FUL (5.9),lut (7.1),NOT (6.6),liv (5.6),MCI (3.9),avl (4.4),LUT (7.6),not (6.1),BOU (8.1),ars (3.5),WOL (7),che (8.6),cry (7),WHU (7.4),EVE (8.6),ful (5.5),TOT (5.3),mun (7.3),SHU (7.6),bur (7.1),BHA (7.4),brf (5.6)
Crystal Palace,shu (7.1),ARS (3.7),brf (5.6),WOL (7),avl (4.4),FUL (5.9),mun (7.3),NOT (6.6),new (7),TOT (5.3),bur (7.1),EVE (8.6),lut (7.1),whu (6.9),BOU (8.1),LIV (6),mci (3.6),BHA (7.4),che (8.6),BRF (6.1),ars (3.5),SHU (7.6),bha (6.8),CHE (9.2),eve (8),BUR (7.6),tot (4.9),LUT (7.6),NEW (7.5),not (6.1),bou (7.5),MCI (3.9),liv (5.6),WHU (7.4),ful (5.5),MUN (7.9),wol (6.5),AVL (4.8)
Burnley,MCI (3.9),lut (7.1),AVL (4.8),TOT (5.3),not (6.1),MUN (7.9),new (7),CHE (9.2),brf (5.6),bou (7.5),CRY (7.6),ars (3.5),WHU (7.4),SHU (7.6),wol (6.5),bha (6.8),EVE (8.6),ful (5.5),LIV (6),avl (4.4),LUT (7.6),mci (3.6),FUL (5.9),liv (5.6),ARS (3.7),cry (7),BOU (8.1),whu (6.9),BRF (6.1),che (8.6),WOL (7),eve (8),BHA (7.4),shu (7.1),mun (7.3),NEW (7.5),tot (4.9),NOT (6.6)
Luton,bha (6.8),BUR (7.6),che (8.6),WHU (7.4),ful (5.5),WOL (7),eve (8),TOT (5.3),not (6.1),avl (4.4),LIV (6),mun (7.3),CRY (7.6),brf (5.6),ARS (3.7),MCI (3.9),bou (7.5),NEW (7.5),shu (7.1),CHE (9.2),bur (7.1),BHA (7.4),new (7),SHU (7.6),MUN (7.9),liv (5.6),AVL (4.8),cry (7),NOT (6.6),tot (4.9),ars (3.5),BOU (8.1),mci (3.6),BRF (6.1),wol (6.5),EVE (8.6),whu (6.9),FUL (5.9)
Sheffield Utd,CRY (7.6),not (6.1),MCI (3.9),EVE (8.6),tot (4.9),NEW (7.5),whu (6.9),ful (5.5),MUN (7.9),ars (3.5),WOL (7),bha (6.8),BOU (8.1),bur (7.1),LIV (6),BRF (6.1),che (8.6),avl (4.4),LUT (7.6),mci (3.6),WHU (7.4),cry (7),AVL (4.8),lut (7.1),BHA (7.4),wol (6.5),ARS (3.7),bou (7.5),mun (7.3),FUL (5.9),liv (5.6),CHE (9.2),brf (5.6),BUR (7.6),new (7),NOT (6.6),eve (8),TOT (5.3)
Manchester Utd,WOL (7),tot (4.9),NOT (6.6),ars (3.5),BHA (7.4),bur (7.1),CRY (7.6),BRF (6.1),shu (7.1),MCI (3.9),ful (5.5),LUT (7.6),eve (8),new (7),CHE (9.2),BOU (8.1),liv (5.6),whu (6.9),AVL (4.8),not (6.1),TOT (5.3),wol (6.5),WHU (7.4),avl (4.4),lut (7.1),FUL (5.9),mci (3.6),EVE (8.6),SHU (7.6),brf (5.6),che (8.6),LIV (6),bou (7.5),NEW (7.5),BUR (7.6),cry (7),ARS (3.7),bha (6.8)
Bournemouth,WHU (7.4),liv (5.6),TOT (5.3),brf (5.6),CHE (9.2),bha (6.8),ARS (3.7),eve (8),WOL (7),BUR (7.6),mci (3.6),NEW (7.5),shu (7.1),AVL (4.8),cry (7),mun (7.3),LUT (7.6),not (6.1),FUL (5.9),tot (4.9),LIV (6),whu (6.9),NOT (6.6),ful (5.5),new (7),MCI (3.9),bur (7.1),SHU (7.6),wol (6.5),EVE (8.6),CRY (7.6),lut (7.1),MUN (7.9),avl (4.4),BHA (7.4),ars (3.5),BRF (6.1),che (8.6)
Everton,FUL (5.9),avl (4.4),WOL (7),shu (7.1),ARS (3.7),brf (5.6),LUT (7.6),BOU (8.1),liv (5.6),whu (6.9),BHA (7.4),cry (7),MUN (7.9),not (6.1),NEW (7.5),CHE (9.2),bur (7.1),tot (4.9),MCI (3.9),wol (6.5),AVL (4.8),ful (5.5),TOT (5.3),mci (3.6),CRY (7.6),bha (6.8),WHU (7.4),mun (7.3),LIV (6),bou (7.5),new (7),BUR (7.6),che (8.6),NOT (6.6),BRF (6.1),lut (7.1),SHU (7.6),ars (3.5)
Chelsea,LIV (6),whu (6.9),LUT (7.6),NOT (6.6),bou (7.5),AVL (4.8),ful (5.5),bur (7.1),ARS (3.7),BRF (6.1),tot (4.9),MCI (3.9),new (7),BHA (7.4),mun (7.3),eve (8),SHU (7.6),wol (6.5),CRY (7.6),lut (7.1),FUL (5.9),liv (5.6),WOL (7),cry (7),mci (3.6),TOT (5.3),brf (5.6),NEW (7.5),ars (3.5),BUR (7.6),MUN (7.9),shu (7.1),EVE (8.6),bha (6.8),avl (4.4),WHU (7.4),not (6.1),BOU (8.1)